,0
516,157714
517,24234
518,149586
519,261425
520,332251
521,294636
522,8921
523,165911
524,27155
525,274491
526,244821
527,43993
528,252943
529,280608
530,175253
531,167167
532,191544
533,250937
534,338484
535,349213
536,348221
537,198755
538,26759
539,27945
540,294774
541,355132
542,189552
543,92974
544,218331
545,139765
546,297152
547,245876
548,70688
549,66130
550,337632
551,324665
552,117349
553,103405
554,177467
555,65941
556,354175
557,311650
558,270630
559,127978
560,200772
561,321465
562,354858
563,283516
564,278928
565,101185
566,240913
567,354359
568,85502
569,261462
570,188825
571,176055
572,343427
573,251396
574,21222
575,86208
576,206347
577,196957
578,228986
579,85812
580,224662
581,216573
582,263782
583,230843
584,328110
585,273606
586,112473
587,21489
588,274650
589,27939
590,321248
591,142768
592,218542
593,206014
594,64751
595,248330
596,252833
597,177502
598,232231
599,122744
600,81102
601,172034
602,10356
603,2881
604,244606
605,205899
606,157981
607,295816
608,25001
609,326019
610,102783
611,353310
612,186208
613,321470
614,81384
615,229552
616,312333
617,119964
618,252784
619,314546
620,22695
621,335848
622,325049
623,335234
624,128506
625,244483
626,172414
627,259304
628,263547
629,45607
630,267024
631,321651
632,224258
633,334320
634,661
635,70907
636,324814
637,59873
638,19484
639,43148
640,147029
641,12339
642,21623
643,216042
644,71934
645,320804
646,95863
647,14694
648,131005
649,115116
650,353953
651,10689
652,135974
653,113636
654,6348
655,346167
656,348357
657,201037
658,183165
659,355283
660,344104
661,309007
662,185719
663,258861
664,23932
665,110718
666,52366
667,304749
668,323202
669,269215
670,101910
671,325940
672,57629
673,317737
674,7643
675,331857
676,104723
677,272012
678,91183
679,219453
680,166852
681,143635
682,139475
683,281387
684,297693
685,115065
686,320258
687,4641
688,280952
689,99766
690,156432
691,249367
692,207084
693,266600
694,57601
695,66862
696,141610
697,297532
698,42703
699,108460
700,186402
701,41988
702,156169
703,138646
704,52722
705,78259
706,33614
707,214708
708,241044
709,258472
710,165312
711,89308
712,211533
713,41254
714,63160
715,293641
716,3562
717,277430
718,227986
719,185954
720,1479
721,244000
722,261667
723,322560
724,333832
725,194940
726,256228
727,202208
728,64394
729,66117
730,18451
731,7403
732,137824
733,254970
734,223682
735,65864
736,245409
737,353424
738,273891
739,232559
740,348236
741,69967
742,64470
743,221972
744,319209
745,329930
746,315475
747,65876
748,62110
749,151835
750,142125
751,307241
752,139849
753,295140
754,124360
755,212019
756,206181
757,334811
758,135806
759,31634
760,115567
761,246626
762,336491
763,15418
764,271600
765,161975
766,115259
767,157887
768,122270
769,96751
770,171021
771,208711
772,226028
773,272916
774,57990
775,258344
776,25545
777,236593
778,44764
779,210496
780,210767
781,147523
782,250023
783,284872
784,155643
785,319715
786,324441
787,105312
788,963
789,106853
790,103120
791,240626
792,272428
793,296240
794,47575
795,231075
796,209921
797,133713
798,204218
799,70864
800,87262
801,56944
802,244723
803,233713
804,72810
805,106525
806,217753
807,246429
808,284492
809,158805
810,228139
811,26661
812,6048
813,347630
814,252055
815,282074
816,258765
817,110721
818,298009
819,280849
820,200409
821,126487
822,11143
823,315204
824,230268
825,252165
826,250417
827,8823
828,344955
829,270677
830,337671
831,15301
832,43246
833,304388
834,92131
835,290264
836,268394
837,105065
838,190519
839,79538
840,209672
841,35564
842,346742
843,339627
844,284838
845,225838
846,355713
847,292937
848,232625
849,80975
850,162306
851,186911
852,106127
853,166159
854,351559
855,26288
856,149054
857,299604
858,261451
859,348448
860,150258
861,257909
862,63220
863,9429
864,80438
865,90316
866,279289
867,293538
868,141122
869,310793
870,61596
871,59421
872,325575
873,331648
874,99226
875,1142
876,15768
877,67484
878,197533
879,102175
880,204670
881,109523
882,204193
883,114322
884,308125
885,241595
886,319271
887,303912
888,97773
889,289633
890,24891
891,305888
892,152987
893,203920
894,335666
895,29460
896,289836
897,62869
898,175293
899,139691
900,134074
901,94956
902,332690
903,180665
904,351755
905,85672
906,252388
907,111507
908,338245
909,24190
910,354862
911,61716
912,301637
913,121878
914,308807
915,343532
916,155918
917,319865
918,316335
919,269482
920,225225
921,5138
922,238551
923,267060
924,21962
925,299449
926,234337
927,171779
928,353399
929,157805
930,229286
931,131284
932,121355
933,312655
934,27035
935,341015
936,166743
937,142252
938,191589
939,15618
940,210822
941,53947
942,124624
943,163309
944,25328
945,17451
946,151853
947,350214
948,210935
949,222622
950,311009
951,269537
952,71670
953,678
954,233486
955,317734
956,229849
957,148830
958,94979
959,319894
960,114998
961,20224
962,222780
963,221217
964,135873
965,210732
966,156346
967,265499
968,268984
969,245762
970,63863
971,261718
972,93970
973,333260
974,175151
975,300962
976,90505
977,326752
978,218639
979,298981
980,8679
981,157919
982,110171
983,333582
984,6741
985,201829
986,185680
987,100999
988,299847
989,244779
990,182142
991,180390
992,305902
993,219761
994,63081
995,205931
996,263388
997,246577
998,124231
999,254545
